町名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,空き缶,空きびん,ペットボトル類,ダンボール・紙製容器・紙パック,蛍光灯
米松１・２丁目,福井市清掃清美課,月･木,2･4金,火,1･3水,4水,2水,3水,奇数月2水
両橋屋町,福井市清掃清美課,火･金,2･4木,月,1･3水,2水,4水,3水,奇数月4水
寮町,福井市清掃清美課,火･金,2･4木,月,1･3水,4水,2水,3水,奇数月2水
若栄町,福井市清掃清美課,火･金,2･4木,月,1･3水,4水,2水,3水,奇数月2水
若杉町,福井市清掃清美課,月･木,2･4金,火,2･4水,1水,3水,4水,奇数月3水
若杉１・２丁目、３丁目（３０１～１１００以外）、４丁目,福井市清掃清美課,月･木,2･4金,火,2･4水,1水,3水,4水,奇数月3水
若杉３丁目３０１～１１００番,福井市清掃清美課,火･金,1･3木,月,2･4水,1水,3水,4水,偶数月3水
若杉浜１～３丁目,福井市清掃清美課,月･木,2･4金,火,2･4水,1水,3水,4水,奇数月3水
脇三ヶ町,福井市清掃清美課,火･金,1･3月,木,2･4水,1水,3水,4水,奇数月3水
和田町,福井市清掃清美課,火･金,2･4木,月,1･3水,4水,2水,3水,4木
和田１～３丁目,福井市清掃清美課,月･木,2･4火,金,1･3水,4水,2水,3水,偶数月2水
和田中町,福井市清掃清美課,月･木,2･4火,金,1･3水,4水,2水,3水,偶数月2水
和田中１～３丁目,福井市清掃清美課,月･木,2･4火,金,1･3水,4水,2水,3水,偶数月2水
和田東１・２丁目,福井市清掃清美課,月･木,2･4火,金,1･3水,4水,2水,3水,偶数月2水
渡町１０１～６２０,福井市清掃清美課,月･木,1･3金,火,2･4水,1水,3水,4水,奇数月3水
渡町６２１～７２０,福井市清掃清美課,月･木,2･4金,火,2･4水,1水,3水,4水,奇数月3水
